job_id,search_role,skill
RjBxQXYwdkUtbEM2VjBoREFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTa3RXWWtOTGFITXhVbU54ZUVWTldqSk5VV0pyYUhGSGJUSk5TVXhMVWs5TU16aGFkMlpzUlZVNVFrVTFkREkyVkZOeFZGZ3pTMWhIVkRsaE5IVjBlV3hvVEc5MlV6RXlXbWhGUkhkbFdGSnBiV0Z2UzIxVFRYWXhXakpaZGpoQ01HNVZXbk5YU0VzeU4yVkpWSEZ4TkROdWRESXdiR1kzZFRObVFrSk5hRUpGTUVoekxYWVNGMVUxVDA1aGNYbzRSalZEU2pkT1dWQXdjSHBWTmtFMEdpSkJSSE55T1daUlpVVmxXWGRqZUVaUkxYbFJOM1I1VFVsU1FUaDFjamhEVEVaUg,Data Analyst,SQL
RjBxQXYwdkUtbEM2VjBoREFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTa3RXWWtOTGFITXhVbU54ZUVWTldqSk5VV0pyYUhGSGJUSk5TVXhMVWs5TU16aGFkMlpzUlZVNVFrVTFkREkyVkZOeFZGZ3pTMWhIVkRsaE5IVjBlV3hvVEc5MlV6RXlXbWhGUkhkbFdGSnBiV0Z2UzIxVFRYWXhXakpaZGpoQ01HNVZXbk5YU0VzeU4yVkpWSEZ4TkROdWRESXdiR1kzZFRObVFrSk5hRUpGTUVoekxYWVNGMVUxVDA1aGNYbzRSalZEU2pkT1dWQXdjSHBWTmtFMEdpSkJSSE55T1daUlpVVmxXWGRqZUVaUkxYbFJOM1I1VFVsU1FUaDFjamhEVEVaUg,Data Analyst,Excel
WWlGM3dHYUwxeFlLTktTN0FBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTMHMxUVdKZmVXZFdRMUJETW5CM1UxZzFRa2hIWkZsNmRXUjZTbmxwUmpoQ1lVd3lSV2t3Ukd0WmRWQm5Xbm94Ym1sWVFrdGlTV1ZzZVd0M2JrUTNObVJaV0ZOMWEzWnFhR1F5V2t0VmMyNWZWek15TUVWbFRDMXVSMU5FV2s1S2VHWmFUVkZFY0MxcWJtOXBSbVpOUXpoWmNsQnNNMkZCWkZKTWRXODVkRkJ2VXpWSVNYUVNGMVUxVDA1aGNYbzRSalZEU2pkT1dWQXdjSHBWTmtFMEdpSkJSSE55T1daUlpqYzJlVzQzZG5WSlZtaDNUMDl4YmpVNVYzRnZjV3BzT0ZKUg,Data Analyst,Python
WWlGM3dHYUwxeFlLTktTN0FBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTMHMxUVdKZmVXZFdRMUJETW5CM1UxZzFRa2hIWkZsNmRXUjZTbmxwUmpoQ1lVd3lSV2t3Ukd0WmRWQm5Xbm94Ym1sWVFrdGlTV1ZzZVd0M2JrUTNObVJaV0ZOMWEzWnFhR1F5V2t0VmMyNWZWek15TUVWbFRDMXVSMU5FV2s1S2VHWmFUVkZFY0MxcWJtOXBSbVpOUXpoWmNsQnNNMkZCWkZKTWRXODVkRkJ2VXpWSVNYUVNGMVUxVDA1aGNYbzRSalZEU2pkT1dWQXdjSHBWTmtFMEdpSkJSSE55T1daUlpqYzJlVzQzZG5WSlZtaDNUMDl4YmpVNVYzRnZjV3BzT0ZKUg,Data Analyst,SQL
WWlGM3dHYUwxeFlLTktTN0FBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTMHMxUVdKZmVXZFdRMUJETW5CM1UxZzFRa2hIWkZsNmRXUjZTbmxwUmpoQ1lVd3lSV2t3Ukd0WmRWQm5Xbm94Ym1sWVFrdGlTV1ZzZVd0M2JrUTNObVJaV0ZOMWEzWnFhR1F5V2t0VmMyNWZWek15TUVWbFRDMXVSMU5FV2s1S2VHWmFUVkZFY0MxcWJtOXBSbVpOUXpoWmNsQnNNMkZCWkZKTWRXODVkRkJ2VXpWSVNYUVNGMVUxVDA1aGNYbzRSalZEU2pkT1dWQXdjSHBWTmtFMEdpSkJSSE55T1daUlpqYzJlVzQzZG5WSlZtaDNUMDl4YmpVNVYzRnZjV3BzT0ZKUg,Data Analyst,Power BI
WWlGM3dHYUwxeFlLTktTN0FBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTMHMxUVdKZmVXZFdRMUJETW5CM1UxZzFRa2hIWkZsNmRXUjZTbmxwUmpoQ1lVd3lSV2t3Ukd0WmRWQm5Xbm94Ym1sWVFrdGlTV1ZzZVd0M2JrUTNObVJaV0ZOMWEzWnFhR1F5V2t0VmMyNWZWek15TUVWbFRDMXVSMU5FV2s1S2VHWmFUVkZFY0MxcWJtOXBSbVpOUXpoWmNsQnNNMkZCWkZKTWRXODVkRkJ2VXpWSVNYUVNGMVUxVDA1aGNYbzRSalZEU2pkT1dWQXdjSHBWTmtFMEdpSkJSSE55T1daUlpqYzJlVzQzZG5WSlZtaDNUMDl4YmpVNVYzRnZjV3BzT0ZKUg,Data Analyst,Excel
SjJ6X0dwN013d2dZUTdEdkFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTMDVHYjBaU1JVWmlVVVJTYTNoNGVXUk1SSE5GWlZsMlJIRndiQzF2ZUhwQmFVMHpkVEJsYWxJNFZIaFBXbDlCTTNob2QyUlVSbGR2VDFSTVNFNWFTSEJzYVRkdU4yMXdZMlZ4VDJOdlgzSXdjakpZZWpOVExXcENjMG95U25SVlkwZGhlbFJ6WDFwZmJGSktTRUZmYVU0d1kzQjRiVXRPTm1vMVdGbFZWV290Wkc1a1Yyc1NGMVUxVDA1aGNYbzRSalZEU2pkT1dWQXdjSHBWTmtFMEdpSkJSSE55T1daVFEzUlpXbGcyZUdGcGJXZHBRekExZEdKd05Ua3RiMnRwTFdSbg,Data Analyst,SQL
Y0NDeW1fUTFMRjEwSjUyQUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTV2xWTlY4NFdVbzFWSEJzVmtnMldVY3Rjbk5TWjJoRGFHcFJZMVoyVEVacmFuRlRVR00zZG5oRlJqaFNNVkp5VWtaMWFFTlpVWGRIT1VSWU1uaGthMW8xTmxoRE1XUmpaVzVhVmpGUmFFY3hNbkZvTm04MlYzUktWV3RJTTNObWVHNDNVakozYzJ0YWJWTk1SMDFsTXpaTWRtTXdMV2xDVkhsd1UyUm5jREZIU0VaZmNXNFNGMVUxVDA1aGNYbzRSalZEU2pkT1dWQXdjSHBWTmtFMEdpSkJSSE55T1daVU5HWkZVRVowY21aMk9YRXRWbmxYVERKc1EycEVkazUzV0ZGbg,Data Analyst,Excel
OVE2TEJubEx5SldoSFd0cUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTa1ZNU2xGdlMzWk5WemcyU1c1bldWb3pkMnhhVkc1cmJVMW1Vbll5WHpKVlNVcHpPVGRWUkc5dk1sbFlXazVUZUV0eFJGbzBRakp5YzFwclQySkhha2RuUjI1UWVIVTFWREY0ZG5WM1pWbHVXRVJ4YWxoTlV6TklZWGxvTlhkVlJHNTBkV3BxVUdaTU5tZHRXRjg1TnpsWVYwdHplbWhwYlRjd1JXdEdZVk5TUWpVeFdIVVNGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daU1prMWhWMjEwWkdOU2FYbG9hWEJaVjI1VWNYSTFiVkJpVGpCMw,Data Analyst,Python
OVE2TEJubEx5SldoSFd0cUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTa1ZNU2xGdlMzWk5WemcyU1c1bldWb3pkMnhhVkc1cmJVMW1Vbll5WHpKVlNVcHpPVGRWUkc5dk1sbFlXazVUZUV0eFJGbzBRakp5YzFwclQySkhha2RuUjI1UWVIVTFWREY0ZG5WM1pWbHVXRVJ4YWxoTlV6TklZWGxvTlhkVlJHNTBkV3BxVUdaTU5tZHRXRjg1TnpsWVYwdHplbWhwYlRjd1JXdEdZVk5TUWpVeFdIVVNGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daU1prMWhWMjEwWkdOU2FYbG9hWEJaVjI1VWNYSTFiVkJpVGpCMw,Data Analyst,SQL
